question_name,tag1,tag2,tag3
和为 K 的子数组,数组,哈希表,前缀和
数组拆分,贪心,数组,计数排序
矩阵中最长的连续1线段,数组,动态规划,矩阵
二叉树的坡度,树,深度优先搜索,二叉树
寻找最近的回文数,数学,字符串,None
数组嵌套,深度优先搜索,数组,None
重塑矩阵,数组,矩阵,模拟
字符串的排列,哈希表,双指针,字符串
最大休假天数,数组,动态规划,矩阵
员工薪水中位数,数据库,None,None
至少有5名直接下属的经理,数据库,None,None
给定数字的频率查询中位数,数据库,None,None
另一棵树的子树,树,深度优先搜索,二叉树
松鼠模拟,数组,数学,None
当选者,数据库,None,None
分糖果,数组,哈希表,None
出界的路径数,动态规划,None,None
员工奖金,数据库,None,None
查询回答率最高的问题,数据库,None,None
查询员工的累计薪水,数据库,None,None
统计各专业学生人数,数据库,None,None
最短无序连续子数组,栈,贪心,数组
杀掉进程,树,深度优先搜索,广度优先搜索
两个字符串的删除操作,字符串,动态规划,None
寻找用户推荐人,数据库,None,None
2016年的投资,数据库,None,None
订单最多的客户,数据库,None,None
安装栅栏,几何,数组,数学
设计内存文件系统,设计,字典树,哈希表
标签验证器,栈,字符串,None
分数加减运算,数学,字符串,模拟
有效的正方形,几何,数学,None
最长和谐子序列,数组,哈希表,计数
大的国家,数据库,None,None
超过5名学生的课,数据库,None,None
好友申请 I：总体通过率,数据库,None,None
区间加法 II,数组,数学,None
两个列表的最小索引总和,数组,哈希表,字符串
不含连续1的非负整数,动态规划,None,None
体育馆的人流量,数据库,None,None
好友申请 II ：谁有最多的好友,数据库,None,None
连续空余座位,数据库,None,None
迭代压缩字符串,设计,数组,字符串
种花问题,贪心,数组,None
根据二叉树创建字符串,树,深度优先搜索,字符串
销售员,数据库,None,None
树节点,数据库,None,None
在系统中查找重复文件,数组,哈希表,字符串
判断三角形,数据库,None,None
有效三角形的个数,贪心,数组,双指针
平面上的最近距离,数据库,None,None
直线上的最近距离,数据库,None,None
二级关注者,数据库,None,None
平均工资：部门与公司比较,数据库,None,None
给字符串添加加粗标签,字典树,数组,哈希表
合并二叉树,树,深度优先搜索,广度优先搜索
学生地理信息报告,数据库,None,None
只出现一次的最大数字,数据库,None,None
有趣的电影,数据库,None,None
任务调度器,贪心,数组,哈希表
在二叉树中增加一行,树,深度优先搜索,广度优先搜索
数组列表中的最大距离,贪心,数组,None
最小因式分解,贪心,数学,None
换座位,数据库,None,None
变更性别,数据库,None,None
三个数的最大乘积,数组,数学,排序
K 个逆序对数组,动态规划,None,None
课程表 III,贪心,数组,排序
设计 Excel 求和公式,图,设计,拓扑排序
最小区间,贪心,数组,哈希表
平方数之和,数学,双指针,二分查找
寻找数组的错位排列,数学,动态规划,None
设计日志存储系统,设计,哈希表,字符串
函数的独占时间,栈,数组,None
二叉树的层平均值,树,深度优先搜索,广度优先搜索
大礼包,位运算,记忆化搜索,数组
解码方法 II,字符串,动态规划,None
求解方程,数学,字符串,模拟
设计搜索自动补全系统,设计,字典树,字符串
子数组最大平均数 I,数组,滑动窗口,None
子数组最大平均数 II,数组,二分查找,前缀和
错误的集合,位运算,数组,哈希表
最长数对链,贪心,数组,动态规划
回文子串,字符串,动态规划,None
单词替换,字典树,数组,哈希表
Dota2 参议院,贪心,队列,字符串
两个键的键盘,数学,动态规划,None
四个键的键盘,数学,动态规划,None
寻找重复的子树,树,深度优先搜索,哈希表
两数之和 IV - 输入二叉搜索树,树,深度优先搜索,广度优先搜索
最大二叉树,栈,树,数组
输出二叉树,树,深度优先搜索,广度优先搜索
金币路径,数组,动态规划,None
机器人能否返回原点,字符串,模拟,None
找到 K 个最接近的元素,数组,双指针,二分查找
分割数组为连续子序列,贪心,数组,哈希表
移除 9,数学,None,None
图片平滑器,数组,矩阵,None
二叉树最大宽度,树,深度优先搜索,广度优先搜索
均匀树划分,树,深度优先搜索,二叉树
奇怪的打印机,字符串,动态规划,None
非递减数列,数组,None,None
路径总和 IV,树,深度优先搜索,数组
优美的排列 II,数组,数学,None
乘法表中第k小的数,数学,二分查找,None
修剪二叉搜索树,树,深度优先搜索,二叉搜索树
最大交换,贪心,数学,None
二叉树中第二小的节点,树,深度优先搜索,二叉树
灯泡开关 Ⅱ,位运算,深度优先搜索,广度优先搜索
最长递增子序列的个数,树状数组,线段树,数组
最长连续递增序列,数组,None,None
为高尔夫比赛砍树,广度优先搜索,数组,矩阵
实现一个魔法字典,深度优先搜索,设计,字典树
键值映射,设计,字典树,哈希表
有效的括号字符串,栈,贪心,字符串
24 点游戏,数组,数学,回溯
验证回文串 II,贪心,双指针,字符串
最近时刻,哈希表,字符串,回溯
棒球比赛,栈,数组,模拟
K 个关闭的灯泡,树状数组,数组,有序集合
冗余连接,深度优先搜索,广度优先搜索,并查集
冗余连接 II,深度优先搜索,广度优先搜索,并查集
重复叠加字符串匹配,字符串,字符串匹配,None
最长同值路径,树,深度优先搜索,二叉树
骑士在棋盘上的概率,动态规划,None,None
三个无重叠子数组的最大和,数组,动态规划,None
员工的重要性,树,深度优先搜索,广度优先搜索
贴纸拼词,位运算,数组,字符串
前K个高频单词,字典树,哈希表,字符串
交替位二进制数,位运算,None,None
不同岛屿的数量,深度优先搜索,广度优先搜索,并查集
岛屿的最大面积,深度优先搜索,广度优先搜索,并查集
计数二进制子串,双指针,字符串,None
数组的度,数组,哈希表,None
划分为k个相等的子集,位运算,记忆化搜索,数组
掉落的方块,线段树,数组,有序集合
不同岛屿的数量 II,深度优先搜索,广度优先搜索,并查集
